,PVC
596,472649
597,473125
598,473604
599,474128
600,474625
601,475110
602,477245
603,477757
604,478273
605,478764
606,479305
607,479803
608,479987
609,480641
610,481204
611,481655
612,482191
613,482699
614,483288
615,483830
616,484300
617,484823
618,485347
619,485800
620,486302
621,486844
622,487316
623,487817
624,490078
625,490551
626,491051
627,491562
628,492060
629,492579
630,493060
631,493573
632,494046
633,494528
634,494964
635,495505
636,496007
637,496456
638,496926
639,497424
640,497940
641,498086
642,498660
643,499131
644,499604
645,500137
646,500629
647,501086
648,501570
649,502143
650,502634
651,503086
652,503575
653,504073
654,504603
655,505096
656,505520
657,506025
658,506580
659,507040
660,507505
661,507685
662,508239
663,508749
664,509199
665,509493
666,512220
667,512771
668,513253
669,513735
670,514214
671,514676
672,515172
673,515682
674,516110
675,516578
676,517103
677,517610
678,518060
679,518547
680,519047
681,519555
682,520063
683,520527
684,520988
685,521515
686,522036
687,522494
688,522995
689,523515
690,524020
691,524487
692,524976
693,525455
694,525996
695,526487
696,526924
697,527396
698,527918
699,528398
700,528887
701,529353
702,529824
703,530298
704,530806
705,531250
706,531693
707,532212
708,532710
709,532905
710,533623
711,537499
712,538010
713,538197
714,538432
715,539024
716,540013
717,540472
718,541004
719,541523
720,541977
721,542442
722,545344
723,545854
724,546421
725,549126
726,549292
727,549925
728,550751
729,551298
730,552174
731,552654
732,553135
733,553328
734,553927
735,554445
736,554898
737,555427
738,555949
739,556522
740,557014
741,557505
742,558065
743,558845
744,559391
745,559903
746,560700
747,561279
748,561819
749,566073
750,566636
751,567264
752,567819
753,567948
754,568631
755,568957
756,570967
757,571449
758,571979
759,572946
760,573488
761,574040
762,574581
763,577784
764,578387
765,578917
766,579521
767,583259
768,583882
769,584766
770,585325
771,586765
772,586959
773,587515
774,588036
775,588607
776,591498
777,592038
778,592600
779,597097
780,597678
781,598256
782,599714
783,600193
784,600653
785,601266
786,602931
787,603544
788,604400
789,604575
790,605186
791,606860
792,607486
793,609708
794,610321
795,614650
796,615212
797,616036
798,616815
799,617361
800,618102
801,618253
802,618850
803,623314
804,623900
805,625578
806,626111
807,626685
808,628371
809,628879
810,629380
811,629977
812,630469
813,630945
814,634923
815,636702
816,637191
817,637753
818,638346
819,640461
820,640995
821,641474
822,642077
823,646206
824,647299
825,647726
